Data type,Cancer group/site,Year,Sex,Age group (years),Count,ICD10 codes
Actual,Melanoma of the skin,1987,Males,70–74,70,C43
Actual,Melanoma of the skin,1987,Males,75–79,52,C43
Actual,Melanoma of the skin,1987,Males,80–84,37,C43
Actual,Melanoma of the skin,1987,Males,85–89,15,C43
Actual,Melanoma of the skin,1987,Males,90+,7,C43
Actual,Melanoma of the skin,1987,Males,All ages combined,517,C43
Actual,Melanoma of the skin,1988,Males,00–04,0,C43
Actual,Melanoma of the skin,1988,Males,05–09,0,C43
Actual,Melanoma of the skin,1988,Males,10–14,0,C43
Actual,Melanoma of the skin,1988,Males,15–19,2,C43
Actual,Melanoma of the skin,1988,Males,20–24,3,C43
Actual,Melanoma of the skin,1988,Males,25–29,10,C43
Actual,Melanoma of the skin,1988,Males,30–34,18,C43
Actual,Melanoma of the skin,1988,Males,35–39,25,C43
Actual,Melanoma of the skin,1988,Males,40–44,32,C43
Actual,Melanoma of the skin,1988,Males,45–49,25,C43
Actual,Melanoma of the skin,1988,Males,50–54,44,C43
Actual,Melanoma of the skin,1988,Males,55–59,57,C43
Actual,Melanoma of the skin,1988,Males,60–64,57,C43
Actual,Melanoma of the skin,1988,Males,65–69,65,C43
Actual,Melanoma of the skin,1988,Males,70–74,59,C43
Actual,Melanoma of the skin,1988,Males,75–79,40,C43
Actual,Melanoma of the skin,1988,Males,80–84,21,C43
Actual,Melanoma of the skin,1988,Males,85–89,20,C43
Actual,Melanoma of the skin,1988,Males,90+,1,C43
Actual,Melanoma of the skin,1988,Males,All ages combined,479,C43
Actual,Melanoma of the skin,1989,Males,00–04,0,C43
Actual,Melanoma of the skin,1989,Males,05–09,0,C43
Actual,Melanoma of the skin,1989,Males,10–14,0,C43
Actual,Melanoma of the skin,1989,Males,15–19,3,C43
Actual,Melanoma of the skin,1989,Males,20–24,2,C43
Actual,Melanoma of the skin,1989,Males,25–29,7,C43
Actual,Melanoma of the skin,1989,Males,30–34,15,C43
Actual,Melanoma of the skin,1989,Males,35–39,22,C43
Actual,Melanoma of the skin,1989,Males,40–44,22,C43
Actual,Melanoma of the skin,1989,Males,45–49,33,C43
Actual,Melanoma of the skin,1989,Males,50–54,39,C43
Actual,Melanoma of the skin,1989,Males,55–59,54,C43
Actual,Melanoma of the skin,1989,Males,60–64,60,C43
Actual,Melanoma of the skin,1989,Males,65–69,67,C43
Actual,Melanoma of the skin,1989,Males,70–74,70,C43
Actual,Melanoma of the skin,1989,Males,75–79,58,C43
Actual,Melanoma of the skin,1989,Males,80–84,33,C43
Actual,Melanoma of the skin,1989,Males,85–89,13,C43
Actual,Melanoma of the skin,1989,Males,90+,3,C43
Actual,Melanoma of the skin,1989,Males,All ages combined,501,C43
Actual,Melanoma of the skin,1990,Males,00–04,1,C43
Actual,Melanoma of the skin,1990,Males,05–09,0,C43
Actual,Melanoma of the skin,1990,Males,10–14,0,C43
Actual,Melanoma of the skin,1990,Males,15–19,1,C43
Actual,Melanoma of the skin,1990,Males,20–24,3,C43
Actual,Melanoma of the skin,1990,Males,25–29,9,C43
Actual,Melanoma of the skin,1990,Males,30–34,15,C43
Actual,Melanoma of the skin,1990,Males,35–39,21,C43
Actual,Melanoma of the skin,1990,Males,40–44,28,C43
Actual,Melanoma of the skin,1990,Males,45–49,38,C43
Actual,Melanoma of the skin,1990,Males,50–54,49,C43
Actual,Melanoma of the skin,1990,Males,55–59,49,C43
Actual,Melanoma of the skin,1990,Males,60–64,60,C43
Actual,Melanoma of the skin,1990,Males,65–69,70,C43
Actual,Melanoma of the skin,1990,Males,70–74,60,C43
Actual,Melanoma of the skin,1990,Males,75–79,58,C43
Actual,Melanoma of the skin,1990,Males,80–84,31,C43
Actual,Melanoma of the skin,1990,Males,85–89,16,C43
Actual,Melanoma of the skin,1990,Males,90+,3,C43
Actual,Melanoma of the skin,1990,Males,All ages combined,512,C43
Actual,Melanoma of the skin,1991,Males,00–04,0,C43
Actual,Melanoma of the skin,1991,Males,05–09,0,C43
Actual,Melanoma of the skin,1991,Males,10–14,0,C43
Actual,Melanoma of the skin,1991,Males,15–19,1,C43
Actual,Melanoma of the skin,1991,Males,20–24,3,C43
Actual,Melanoma of the skin,1991,Males,25–29,3,C43
Actual,Melanoma of the skin,1991,Males,30–34,17,C43
Actual,Melanoma of the skin,1991,Males,35–39,19,C43
Actual,Melanoma of the skin,1991,Males,40–44,33,C43
Actual,Melanoma of the skin,1991,Males,45–49,26,C43
Actual,Melanoma of the skin,1991,Males,50–54,50,C43
Actual,Melanoma of the skin,1991,Males,55–59,40,C43
Actual,Melanoma of the skin,1991,Males,60–64,64,C43
Actual,Melanoma of the skin,1991,Males,65–69,71,C43
Actual,Melanoma of the skin,1991,Males,70–74,63,C43
Actual,Melanoma of the skin,1991,Males,75–79,61,C43
Actual,Melanoma of the skin,1991,Males,80–84,35,C43
Actual,Melanoma of the skin,1991,Males,85–89,19,C43
Actual,Melanoma of the skin,1991,Males,90+,7,C43
Actual,Melanoma of the skin,1991,Males,All ages combined,512,C43
Actual,Melanoma of the skin,1992,Males,00–04,1,C43
Actual,Melanoma of the skin,1992,Males,05–09,0,C43
Actual,Melanoma of the skin,1992,Males,10–14,1,C43
Actual,Melanoma of the skin,1992,Males,15–19,0,C43
Actual,Melanoma of the skin,1992,Males,20–24,5,C43
Actual,Melanoma of the skin,1992,Males,25–29,8,C43
Actual,Melanoma of the skin,1992,Males,30–34,19,C43
Actual,Melanoma of the skin,1992,Males,35–39,22,C43
Actual,Melanoma of the skin,1992,Males,40–44,23,C43
Actual,Melanoma of the skin,1992,Males,45–49,37,C43
Actual,Melanoma of the skin,1992,Males,50–54,25,C43
Actual,Melanoma of the skin,1992,Males,55–59,39,C43
Actual,Melanoma of the skin,1992,Males,60–64,59,C43
Actual,Melanoma of the skin,1992,Males,65–69,66,C43
Actual,Melanoma of the skin,1992,Males,70–74,77,C43
Actual,Melanoma of the skin,1992,Males,75–79,66,C43
Actual,Melanoma of the skin,1992,Males,80–84,47,C43
Actual,Melanoma of the skin,1992,Males,85–89,22,C43
Actual,Melanoma of the skin,1992,Males,90+,6,C43
Actual,Melanoma of the skin,1992,Males,All ages combined,523,C43
Actual,Melanoma of the skin,1993,Males,00–04,0,C43
Actual,Melanoma of the skin,1993,Males,05–09,0,C43
Actual,Melanoma of the skin,1993,Males,10–14,0,C43
Actual,Melanoma of the skin,1993,Males,15–19,2,C43
Actual,Melanoma of the skin,1993,Males,20–24,6,C43
Actual,Melanoma of the skin,1993,Males,25–29,10,C43
Actual,Melanoma of the skin,1993,Males,30–34,19,C43
Actual,Melanoma of the skin,1993,Males,35–39,20,C43
Actual,Melanoma of the skin,1993,Males,40–44,39,C43
Actual,Melanoma of the skin,1993,Males,45–49,33,C43
Actual,Melanoma of the skin,1993,Males,50–54,43,C43
Actual,Melanoma of the skin,1993,Males,55–59,52,C43
Actual,Melanoma of the skin,1993,Males,60–64,70,C43
Actual,Melanoma of the skin,1993,Males,65–69,72,C43
Actual,Melanoma of the skin,1993,Males,70–74,77,C43
Actual,Melanoma of the skin,1993,Males,75–79,65,C43
Actual,Melanoma of the skin,1993,Males,80–84,45,C43
Actual,Melanoma of the skin,1993,Males,85–89,18,C43
Actual,Melanoma of the skin,1993,Males,90+,10,C43
Actual,Melanoma of the skin,1993,Males,All ages combined,581,C43
Actual,Melanoma of the skin,1994,Males,00–04,0,C43
Actual,Melanoma of the skin,1994,Males,05–09,0,C43
Actual,Melanoma of the skin,1994,Males,10–14,0,C43
